,label,企业名称,所在城市,经营业务范围,统一信用代码
16,能源原材料,华能泰山电力有限公司技术中心,山东省,"电力、热力项目的开发、投资、管理;电缆、电器生产与销售;电器工程安装与施工;机械加工;技术咨询服务;金属材料、化工产品(不含危险品)销售。售电、购电、电力供应服务(专营、专控及前置审批商品或项目除外)(需许可经营的,须凭许可证经营)(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",-
17,高端化工,山东如意科技集团有限公司技术中心,山东省,"纺织服装制造;棉、化纤纺织及印染精加工;棉花、羊毛及其他纺织原料辅料的收购、加工及销售;股权投资;企业投资管理(管理有投资关系的企业);销售本公司产品;服装、服饰、家用纺织品的批发、佣金代理、进出口及零售业务;能源技术研发;对发电项目的建设、运营、管理、技术咨询和服务;新能源技术推广服务;自有房地产经营活动;机器设备的进出口业务。(依法须经批准的项目,经相关部门批准后依批准的内容开展经营活动)",-
19,能源原材料,三角集团有限公司技术中心,山东省," 汽油、柴油零售(仅限分支机构经营)。经营国家对外贸易经济合作部批准范围内的进出口业务;机械设备的加工、维修;土地使用权、房屋的租赁。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",-
20,能源原材料,浦林成山(山东)轮胎有限公司技术中心,山东省,"设计、开发、生产和销售载重子午胎、普通结构轮胎、半钢子午线客车轮胎和半钢子午线轻型卡车轮胎及相关产品,为上述产品提供技术支持和服务(依法须经批准的项目,经相关部门批准后方可开展经营活动,有效期限以许可证为准)。",-
21,医养健康,东阿阿胶股份有限公司技术中心,山东省," 许可证批准范围内的药品生产、销售,许可证批准范围内的保健食品生产、销售,受山东东阿阿胶保健品有限公司委托生产阿牌、东阿阿胶牌、葆苓牌保健食品,许可证批准范围内的食品生产、销售,预包装食品批发、零售,许可范围内畜牧养殖、收购、销售;许可证范围内化妆品(护肤品)、保健器材、医疗器材、小型厨具、保洁用品、家用电器生产与销售;在经核准的区域内直销经核准的产品(具体产品以商务部直销行业信息管理系统公布的为准),(以上项目有效期限以许可证为准)。食品用塑料包装、容器、工具等制品的生产、销售;进出口业务;化工产品(不含易燃易爆危险品)销售;以自有资金对外投资;中药材种植、收购、生产及销售;健康咨询服务、旅游观光服务、会议展览及接待服务、工艺品销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",-
22,能源原材料,华泰集团有限公司技术中心,山东省,"制浆、造纸、化工、环保、自动化、信息开发、检验、新产品研究与开发。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",-
23,医养健康,烟台张裕集团有限公司技术中心,山东省,"生产葡萄酒、保健酒、蒸馏酒、饮料(仅限子公司、参股公司和分公司生产),机械制造,农产品的种植、许可证范围内的出口业务,本企业自产产品及技术的出口业务(不含国家出口许可证管理的商品);零配件及技术的进口业务(不含国家进口许可证管理的商品);从事本企业的进料加工和“三来一补”业务,并销售公司上述所列自产产品。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",-
24,高端装备制造,天润曲轴股份有限公司技术中心,山东省,"曲轴、机床、机械配件的生产、销售。备案范围内的货物进出口(法律、行政法规、国务院决定规定禁止的项目除外)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",-
25,高端化工,泰山玻璃纤维有限公司技术中心,山东省,"氧气、氮气、液氧、液氮、液氩的生产、销售;普通货运。(有效期限以许可证为准)。无碱玻璃纤维及制品的制造销售;化工原料(不含危险品及易制毒化学品)的销售;进出口业务;金属制品、贵金属制品加工及销售;机械设备制造、加工、销售及维修;功能高分子材料、专项化学用品、玻璃纤维制品及其设备、玻璃钢制品的研制、开发、生产、销售;漏板设备制造销售;非金属微粉加工销售;包装材料生产及销售;复合材料技术开发、应用及咨询;废旧玻璃纤维加工(不含防水玻璃生产);建筑防水材料及建筑防水生产设备加工、销售;纸制品、木制品、塑料制品生产销售;来料加工;建筑防水施工。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",-
26,高端化工,泰山玻璃纤维邹城有限公司技术中心,山东省,"邹城市太平镇里彦(邹城市里彦工业园区内)氧(液化的、压缩的)10200Nm3/h、氮(液化的、压缩的)20000Nm3/h、液氩350Nm3/h的生产(有效期以许可证为准);玻璃纤维及制品、玻璃钢制品制造、销售;货物进出口(国家限定公司经营的货物除外)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",-
27,高端装备制造,山东时风(集团)有限责任公司技术中心,山东省,"生产、销售:农用车、拖拉机、摩托车、内燃机、型材、轮胎、电动二轮车、电动三轮车、蓄电池观光车(GD04A型4座及以下;GD04B型4座及以下;GD04C型4座及以下,场(厂)内专用旅游观光车辆B级)、收割机、烘干机、农机具、环境保护专用设备及其零部件、汽车零部件、热力、电力、再生胶、帘子布、工业布、化学纤维及制品;销售汽车(小轿车除外)、电动四轮车,货运(仅限分公司经营);提供本企业自产产品工业设计,技术研发、咨询、转让及服务;出口本企业自产产品及其散件和配件,进口本企业生产科研所需的原辅材料、机械设备、仪器、仪表及零配件(依法须经批准的项目,经相关部门批准后方可开展经营活动)",-
28,医养健康,山东省鲁洲食品集团有限公司技术中心,山东省,"淀粉糖系列产品研发(不含生产);货物进出口、技术进出口(以上项目,国家法律、行政法规禁止的项目除外;法律、行政法规限制的项目,取得许可后,方可经营。);以下限分公司经营:加工、销售:饲料,汽车运输。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",-
29,医养健康,山东新华医疗器械股份有限公司技术中心,山东省,"医疗仪器设备及器械生产、销售;消毒剂、消毒器械生产、销售;卫生材料及医药用品的制造;制药设备生产、销售;应用软件开发及经营;光学仪器的制造;环境保护专用设备制造、销售;仪器仪表及配套软件生产;房屋建筑工程、空气净化工程及室内装饰工程设计、施工,装饰装修;实验动物设备、实验仪器,空气净化器的生产、销售;医疗、制药设备安装及建筑智能化施工;设备租赁;教学设备的生产、销售;医药及医疗器材专门零售;包装设备制造;售后服务;技术服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",-
30,高端装备制造,烟台冰轮集团有限公司技术中心,山东省,"普通机械设备、电子设备、五金交电、建筑材料、金属材料的批发零售;自有房屋租赁、普通机械设备租赁,以自有资金投资(未经金融监管部门批准,不得从事吸收存款、融资担保、代客理财等金融业务),企业管理咨询、制冷技术咨询、制冷技术服务,货物和技术的进出口。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",-
31,高端装备制造,山东达驰电气有限公司技术中心,山东省,"变压器的生产、销售、安装、检修;电工、电气器材的制造、销售及配件的维修;铜制品的销售;电机的生产与销售;经营本企业自产产品的出口业务和本企业所需的机械设备、零配件、原辅材料的进口业务(国家限制公司经营或禁止进出口的商品及技术类的除外);不动产租赁。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",-
32,医养健康,齐鲁制药有限公司技术中心,山东省,"药品生产许可证批准范围内的药品生产(有效期内以许可证为准)。进出口企业资格证书批准范围内的进出口业务;药用包装制品的生产销售;化工原料、医药辅料及中间体、农产品的批发;药物技术开发和技术转让(依法须经批准的项目,经相关部门批准后方可开展经营活动)",-
33,医养健康,威高集团有限公司技术中心,山东省,"三类:6865医用缝合材料及粘合剂生产、销售;一类手术室、急救室、诊疗室设备及器具、塑料制品、机械电子产品、包装材料、注塑模具的生产销售;医药技术开发、转让、技术咨询;园林绿化;水产养殖;计算机基础软件开发;对医疗器械、药品、化工产品(危险品除外)、机电产品、高新技术产业的投资、经营和管理;农、林、牧产品,纺织、服装及家庭用品,文化、体育用品及器材,医药及医疗器材,矿产品,建材及化工产品,机械设备、五金产品及电子产品的批发;备案范围内的货物及技术进出口业务;成品油、润滑油、预包装食品及乳制品(不含婴幼儿配方乳粉)零售;汽车美容;洗车;烟草制品零售(限分支机构经营);房屋租赁。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",-
34,现代农业,山东登海种业股份有限公司技术中心,山东省,"许可证规定范围内的农作物种子生产、分装、销售(有效期限以许可证为准)。农作物新品种选育;农业新技术开发及成果转让、技术推广、技术咨询、培训服务;进出口业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",-
35,高端化工,菱花集团有限公司技术中心,山东省,"味精、淀粉及淀粉制品的生产(凭许可证核定的范围经营,有效期以许可证为准);谷氨酸的生产及销售;硫酸铵的生产及销售(非食品工业用);热电生产(自用);机械制造、维修及安装;玉米收购(自用);复混肥的生产与销售;废品回收;服装加工及销售;计算机软硬件开发;网络和电子仪器的研制开发;其他印刷品印刷、散装食品、预包装食品、农产品的销售(以上仅限批准的分支机构持证经营);农产品加工;房屋租赁;汽车租赁;非学历职业技能培训;味精生产技术、谷氨酸发酵技术服务;煤炭、五金产品的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",-
36,高端装备制造,潍柴动力股份有限公司技术中心,山东省,"内燃机、液压产品、新能源动力总成系统及配套产品的设计、开发、生产、销售、维修、进出口;自有房屋租赁;钢材销售;企业管理服务(以上不涉及国营贸易管理商品,涉及配额、许可证管理的商品,按国家有关规定办理)(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",-
37,高端化工,丛林集团有限公司技术中心,山东省,"本集团成员单位自产的水泥、输送带、胶圈、三角带、铝型材、铝制散热器、球墨铸铁管、管件、厢式汽车、专用车、农用车、汽车零部件、起重机及相关技术的出口业务;本集团成员单位生产科研所需原辅材料机械设备、零配件和相关技术的进口业务;机械设备租赁,房屋租赁;企业管理服务,投资咨询服务,贸易咨询服务,企业管理咨询服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",-
38,高端化工,鲁泰纺织股份有限公司技术中心,山东省,"从事棉纱、色织布、衬衣、服装饰品、保健内衣、纺织品及配套产品的生产、加工和销售业务;纺织服装品设计、研发、技术服务;经营非配额许可证管理、非专营商品的收购出口;酒店、宾馆、餐饮、会议、培训服务;自有房屋、土地租赁业务;纯净水的生产和销售(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",-
39,高端化工,鲁丰织染有限公司技术中心,山东省,"纺织印染产品生产、销售,纱线、服装服饰产品批发(依法须经批准的项目,经相关部门批准后方可开展经营活动,有效期限以许可证为准)。",-
41,文化产业,山东中烟工业有限责任公司技术中心,山东省,"卷烟、雪茄烟生产销售;卷烟纸、滤嘴棒、烟用丝束购进;烟草专用机械购进,烟叶、烟丝、复烤烟叶购进。(有效期限以许可证为准)。与烟草制品生产销售相关的其他生产经营,多元化经营,资产管理(按国家烟草专卖局批准的范围从事经营)(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",-
42,高端装备制造,山东金麒麟股份有限公司技术中心,山东省," 研发、制造、销售各类制动摩擦材料及制动产品、垫片、传感器、传感线、滤清器及所需原材料、设备、零配件销售与维修;润滑油销售;制动液(不含危险品)销售;货物及技术进出口业务(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",-
43,高端装备制造,威海广泰空港设备股份有限公司技术中心,山东省," 机场设备、港口设备、机载设备、船舶设备及配套产品的开发、设计、生产、销售、维修及相关服务、技术培训、技术咨询、检测、安装和租赁;机场工程承包和施工;专用汽车、挂车、改装车的开发、设计、生产、销售及相关服务、技术培训、技术咨询、检测和维修;医疗器械经营;公路养护设备、环保车辆和设备、汽车、汽车底盘及零配件、通讯设备、金属结构、空调设备、灯光设备、电子产品、机电设备、仪器仪表、建筑装饰材料、高低压配电柜的研发、销售、服务;消防器材、安全技术防范产品、社会公共安全设备及器材的销售、服务、技术培训、技术咨询;金属包装容器、罐体的研发、设计、生产、销售、服务;油田设备及零部件的研发、生产、加工、销售、服务;无人驾驶航空器(民用航空器除外)的生产;无人驾驶航空器及配套设备的开发、销售、技术咨询、技术服务;无人驾驶航空器的测绘、喷洒、检测、巡视服务;机械设备租赁;自有房地产经营活动;物业管理;备案范围内的进出口业务。(依法禁止的项目除外,依法须经批准的项目,经相关部门批准后方可开展经营活动)",-
44,高端装备制造,雷沃重工股份有限公司技术中心,山东省," 摩托车,三轮汽车生产。(有效期限以许可证为准)。汽车、摩托车零配件及工程机械、农用机械、农用车、助力车、电动车、摩托车、场(厂)内专用机动车辆、搬运车、高尔夫球车、巡逻车的技术开发、转让、培训、咨询服务及生产(不含摩托车生产)、销售自产产品(国家有规定的,须凭许可证经营);进出口业务;自有工程机械维修及租赁;旧货、二手车销售;农业机械导航及自动化作业系统生产、销售;普通货运;提供施工设备服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",-
45,高端化工,山东滨州亚光毛巾有限公司技术中心,山东省,"棉花加工、销售(有效期限以许可证为准);经营本企业生产的毛巾及毛巾类制品、毯类制品、地垫、纺纱及棉纺织品、化纤制品、服装及技术的出口业务,经营本企业生产、科研所需的原辅助材料、仪器、仪表、机械设备、零配件及技术的进口业务;新产品的技术开发、技术服务及技术转让(国家限定公司经营和国家禁止进出口的商品及技术除外);会议及展览展示服务;房屋租赁(依法须经批准的项目,经相关部门批准后方可开展经营活动)",-
46,医养健康,山东绿叶制药有限公司技术中心,山东省,"生产、加工原料药(七叶皂苷钠、蒙脱石、辣椒碱、泛酸钠、甘氨双唑钠、水杨酸二乙胺)、精神类药品、麻醉类药品、药用辅料、片剂、硬胶囊剂、颗粒剂、冻干粉针剂、凝胶剂、小容量注射剂、散剂(有效期限以许可证为准);药品及医疗器械的技术开发、技术服务;本公司产品的销售;货物及技术的进出口业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",-
47,能源原材料,新汶矿业集团有限责任公司技术中心,山东省,"煤炭开采、洗选,道路运输,燃气生产、经营,化工产品(不含化学危险品)销售,石膏开采及石膏制品、许可范围内烧碱、液氯、盐酸、次氯酸纳、聚氯乙烯、三氯氢硅、四氯化硅、液体消毒剂的生产、销售,饮食服务,社区服务,计量授权证书范围内部强制检定;(以上限分支机构经营)。因特网接入服务业务;对外提供经济技术合作业务;采矿设备制造、煤炭、建筑材料的销售,设备租赁,农牧养殖,塑料制品、橡胶制品、纺织品、服装、工艺品(不含金饰品)、计量器具、仪器仪表及配件的生产、销售,对所属企业的管理,煤炭开采技术咨询、服务,批准范围内的进出口业务、房屋租赁;教育咨询,企业管理及商务信息咨询;文化艺术及职业技能培训;环境监测、计量检测;环保技术咨询、服务及培训;文化艺术交流策划,企业形象及市场营销策划;舞美设计;广告业务;会议及展览服务;婚庆礼仪服务,摄影服务,市场调研,网站建设与维护,动漫制作,电子产品、办公用品、文化用品、工艺品销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",-
49,现代金融,万达集团股份有限公司技术中心,山东省," 电气机械及器材、化工产品(不含易燃易爆危险品)、建筑材料的生产、加工、销售,电气机械及器材维修;轮胎生产、销售;机械加工;钢结构及电气工程安装;自营和代理进出口业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",-
50,高端化工,恒天海龙(潍坊)新材料有限责任公司技术中心,山东省,"化纤用的浆粕、粘胶纤维、纱、布、面料的生产 (不含印染等化学工艺)、销售;加工空心砖;经营国家允许的货物及技术进出口业务;普通货运;浆粕的来料加工(不含化学工艺);纺织技术的开发、研究、服务、咨询、转让;房地产开发、商品房销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",-
51,高端化工,烟台泰和新材集团有限公司技术中心,山东省," 装饰布、针织内衣、毛巾、服装及其它纺织产品、绝缘纸、各种纸管、纸板及其它纸制品、机电产品(不含品牌汽车)的批发、零售;化工及机械工程技术设计、咨询、服务;货物和技术的进出口;以自有资金投资(未经金融监管部门批准,不得从事吸收存款、融资担保、代客理财等金融业务)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",-
52,能源原材料,力诺集团股份有限公司技术中心,山东省,"太阳能热水器、集热器、太阳能光热产品、光伏产品的制造;批发、零售:建筑材料,日用品,工艺美术品;进出口业务;收购纸箱、包装帽;社会经济咨询。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",-
53,能源原材料,南山集团有限公司技术中心,山东省,"铝锭、铝型材、毛纺织品、服装、板材、家具、针织品、黄金制品的销售,货物进出口业务(国家限定或禁止的除外),企业生产科研所需的原辅材料、机械设备、仪器仪表及零配件的加工、销售及技术服务,房地产开发经营,建筑工程施工,仓储服务(不含危险化学品),海产品养殖、销售,房屋、土地、机械设备的租赁,住宿、餐饮服务,室内娱乐服务,主题游乐园服务,休闲健身活动服务,园艺博览,组织、策划文化艺术交流活动,发电、售电、热力供应服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",-
54,信息产业,山东新北洋信息技术股份有限公司技术中心,山东省,"集成电路及计算机软件的开发、生产、销售、服务;计算机硬件及外部设备电子及通讯设备(不含无线电发射设备)、仪器仪表及文化办公用机械产品的开发、生产、销售、服务;钣金、塑料制品、模具加工;资格证书范围内自营进出口业务;资质证书范围税控收款机及相关产品、电子收款机的开发、生产、销售、服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动) ",-
55,高端装备制造,山东齐鲁电机制造有限公司技术中心,山东省,"发电机及发电机组、汽轮机及辅机、电动机及备品配件的设计、制造、销售;电站设备技术咨询;进出口业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动) ",-
56,高端装备制造,中通客车控股股份有限公司技术中心,山东省,"客车、客车底盘、旅居车、厢式运输车、挂车的开发、制造、销售。(有效期限以许可证为准)。客车专用配件、客车底盘、旅居车、厢式运输车、挂车专用配件的开发、制造、销售;专用车(不含小轿车)及配件、橡胶产品、工业生产资料(不含专营专控)的销售;技术咨询、服务;高新技术、信息产业投资;资格证书范围内自营进出口业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。 ",-
59,高端装备制造,山东华盛中天机械集团股份有限公司技术中心,山东省,"研发、生产、销售:内燃机、舷外机、农业机械及园艺机具、建筑工程用机械、矿山机械、林业机械、森林消防机械、道路养护及环卫清扫机械、水泵、发电机及发电机组、汽车零配件及上述产品零配件。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。 ",-
62,现代农业,得利斯集团有限公司技术中心,山东省,"以自有资金对下属公司进行投资、管理;生产、销售食品机械及器材;货物进出口业务;销售饲料、生猪;粮食收购;食品、保健食品、化妆品、植物油、服装加工、销售;道路货物运输;生物技术研发与应用;林木、水果、蔬菜、食用菌种植与销售;餐饮服务;生态农业观光旅游;食品检测与技术应用;园林绿化工程施工、建筑工程施工、装饰装修工程施工;销售建材;网上销售食品、食用菌、植物油、建材、服装;房屋租赁。(依法须经批准的项目,经相关部门批准后方可开展经营活动。)",-
63,高端装备制造,山东五征集团有限公司技术中心,山东省,"三轮汽车、电动车、低速货车、农业机械、装载机、环保、环卫设备、环卫专用车辆及其配件的生产、销售和运输;普通货物进出口;摩托车的加工、销售和运输;润滑油的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动) ",-
64,高端装备制造,烟台三环锁业集团股份有限公司技术中心,山东省,"制造、加工:各种锁具及零部件、制锁设备、工装模具、五金配件、家用五金、保险柜、文件柜、金属柜、锁材、防盗门、防火门、防盗窗、车库门、对讲遥控防盗(门)系统、防盗工程设计及安装、电镀加工、金属材料、化工原料(不含危险品)、日用百货、皮革制品的批发零售、许可范围内的进出口业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",-
65,高端化工,中冶纸业银河有限公司技术中心,山东省,"机制纸、纸制品生产、销售;按进出口企业资格证书核准的经营范围从事进出口业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",-
66,高端装备制造,济南重工股份有限公司技术中心,山东省,"环保脱硫设备、电站设备、盾构机、隧道掘进机、矿山机械设备、冶金设备、建材设备、重型锻压设备及配件的制造、销售及安装服务;机械设备、房屋、场地的租赁服务;机械设备技术开发和技术服务;进出口业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。 ",-
67,高端化工,济南圣泉集团股份有限公司技术中心,山东省,"呋喃树脂、糠醛、冷芯盒树脂生产;发电业务;铸造用涂料、糠醇、固化剂、三乙胺、稀释剂的批发(无仓储,不含剧毒品,成品油,第一类易制毒和第二类监控化学品)(以上项目有效期限以许可证为准)。复合肥料、有机肥料、水溶性肥料、微生物肥料、有机无机复混肥料、土壤调理剂、硅钙镁肥、液体肥、肥料原料的生产和销售;聚氨脂、酚醛树脂、醋酸钠、清洗剂、防水剂、泡沫陶瓷过滤器、发热保温冒口套、木质素、工业纤维素、木糖的生产、销售(环保验收后方可正式生产);纺织用原料、助剂及辅料、针纺织品、服装服饰、床上用品、塑料制品、皮革制品、劳防用品、包装材料、新型材料、生物质石墨烯及其制品的销售;压力管道的维修与安装;铸造材料批发(不含危险化学品);技术服务及成果转让;备案范围内的进出口业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)” ",-
68,高端化工,鲁西化工集团股份有限公司技术中心,山东省,"化学肥料及安全生产许可证范围内化工原料的生产销售(以上限分支机构经营);化工生产专用设备设计、制造、安装、销售,自营进出口业务;化工技术咨询与服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",-
