,公司名称,经营范围,省份,所属地区,企业简介,新动能条款,企业分类
10,济南第一机床有限公司技术中心,"机床设备及配件、附件的设计、制造、销售及技术咨询;计算机软硬件及配套产品、网络工程的开发、销售和维修;货物进出口,技术进出口。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",山东,济南,,,高端装备制造
11,山东钢铁股份有限公司技术中心,"许可证批准范围内的危险化学品生产、销售(禁止储存)、焦炉煤气供应,发电,供热;供水(限分支机构经营)。(以上项目有效期限以许可证为准)。钢铁冶炼、加工及技术咨询服务,钢材、大锻件、焦炭及炼焦化产品、水渣和炼钢副产品的生产及销售,铁矿石及类似矿石销售,自营进出口业务;专用铁路运输。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",山东,济南,,,高端装备制造
12,济南试金集团有限公司技术中心," 制造、加工、自销:仪器仪表,文化办公用机械,普通机械,电气机械及器材,金属制品;批发零售:国内贸易;社会经济咨询(不含金融、证券、期货投资咨询、中介服务);房屋租赁、中介服务;机械设备租赁;进出口业务。 (依法须经批准的项目,经相关部门批准后方可开展经营活动)",山东,济南,"济南试金集团有限公司，始建于1952年，是国家研制、生产大型精密测试仪器设备的重点骨干和行业排头兵企业。试验机产品销售收入占国内试验机行业重点企业的1/3。试金集团现拥有资产总额3亿多元，占地面积15.7万平方米，职工3000余人。
公司已搬迁至济南西部经济开发区（长清）。",,高端装备制造
13,中国重型汽车集团有限公司技术中心,"公路运输。(有效期限以许可证为准)。组织本集团成员开发研制、生产销售各种载重汽车、特种汽车、军用汽车、客车、专用车、改装车、发动机及机组、汽车零配件、专用底盘;集团成员生产所需的物资供应及销售。机械加工;科技开发、咨询及售后服务;润滑油销售;许可范围内的进出口业务(限本集团的进出口公司)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",山东,济南,"CHINA NATIONAL HEAVY DUTY TRUCK GROUP CO.,LTD 中国重型汽车集团有限公司
中国重型汽车集团有限公司（以下简称中国重汽集团）总部坐落于山东省济南市，是国内主要的重型载重汽车生产基地，也是我国重型汽车工业的摇篮，以开发和制造中国第一辆重型汽车（黄河 JN150）、成功引进斯太尔重型汽车生产项目和与沃尔沃合资生产项目、自主研发HOWO产品是目前中国重型汽车产销量最大的企业而闻名，现为山东省国有资产监督管理委员会管理的省属大型企业。",,高端装备制造
14,山东新华制药股份有限公司技术中心," 生产、批发、零售西药、化工原料、食品添加剂、保健食品、固体饮料、兽用药品、鱼油、制药设备、医药检测仪器及仪表;自行研制开发项目的技术转让、服务、技术咨询、技术培训;批发、零售中药材、中药饮片、医疗器械(Ⅰ、Ⅱ、Ⅲ类)、隐形眼镜及护理液、检测试纸(剂)、保健食品、母\婴用品、乳制品(含婴幼儿配方奶粉)、化妆品、洗涤用品、预包装食品、散装食品、日用百货、初级农产品、海鲜、成人计生类产品;销售化学原料药、化工产品、化学试剂、医药中间体(以上三项不含危险、易制毒化学品);进出口业务;仓储服务(不含危险品);互联网信息咨询与服务;电商代运营(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",山东,淄博,新华制药坚持民主、务实、创新型的企业文化建设，以科技、市场、文化来共同推动企业快速发展，打造企业核心竞争力。逐步构建并完善了以“保护健康、造福社会”为企业使命，以“品质至上、科学发展”为企业核心价值观，以“传承、创新、和谐、奉献”为企业精神，以“务实、求严、高效、诚信”为企业作风，以“高科技的新华、国际化的新华、充满人文精神的新华”为企业愿景的企业价值体系，及诸多以企业组织行为管理理念为支撑的独具“新华”特色的企业文化体系。 新华制药企业文化体系以传承、开放、创新、兼容为特点，凝聚了全公司员工的集体智慧，秉承了企业历史发展过程中的优良传统和作风，依照价值规律和企业文化的合力作用，打造文化力，培育软实力，提升竞争力，着力打造国内有影响的医药制剂供应商和最具竞争力的全球原料,,医养健康
15,兖矿集团有限公司技术中心,"以自有资金对外投资、管理及运营;投资咨询;期刊出版,有线广播及电视的安装、开通、维护和器材销售;许可证批准范围内的增值电信业务;对外承包工程资质证书批准范围内的承包与实力、规模、业绩相适应的国外工程项目及对外派遣实施上述境外工程所需的劳务人员;(以下仅限分支机构经营):煤炭开采、洗选、销售;热电、供热及发电余热综合利用;公路运输;木材加工;水、暖管道安装、维修;餐饮、旅馆;水的开采及销售; 黄金、贵金属、有色金属的地质探矿、开采、选冶、加工、销售及技术服务。广告业务;机电产品、服装、纺织及橡胶制品的销售;备案范围内的进出口业务;园林绿化;房屋、土地、设备的租赁;煤炭、煤化工及煤电铝技术开发服务;建筑材料、硫酸铵(白色结晶粉末)生产、销售;矿用设备、机电设备、成套设备及零配件的制造、安装、维修、销售;装饰装修;电器设备安装、维修、销售;通用零部件、机械配件、加工及销售;污水处理及中水的销售;房地产开发、物业管理;日用百货、工艺品、金属材料、燃气设备销售;铁路货物(区内自备)运输。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",山东,邹城,"兖矿集团是以煤炭、煤化工、煤电铝及机电成套装备制造为主导产业的国有特大型企业。矿区开发建设始于1966年，1976年成立兖州矿务局，1996年整体改制为国有独资公司，1999年成立兖矿集团，是华东地区煤炭生产、出口、深加工重要基地和山东省三大化工产业基地之一。


多年来，兖矿集团秉承“奉献光热、创造价值”的企业使命，牢固树立和全面落实科学发展观，加快产业结构调整和经济发展方式转变，企业实现超常规跨越式发展。目前已形成煤炭、煤化工、煤电铝及机电成套装备制造“三大主业”，本部鲁南、兖州、邹城“三大园区”，外部贵州、陕西榆林、新疆、内蒙古鄂尔多斯、澳洲“五大基地”的“43335”发展格局。截至2009年底企业资产总额700亿元，在册职工9.3万人，列中国企业500强排名121位。


近年来，兖矿集团先后荣获全国优秀企业（金马奖）、中国质量效益型先进企业特别奖、“五一”劳动奖状，全国重合同守信用企业、全国先进基层党组织、全国国有企业领导班子建设先进集体、中国节能减排功勋企业、中华环境友好煤炭企业、国家工程建设质量奖、中国最具影响力企业、国家级创新型试点企业、“AAA”级信用企业、山东省改革开放30周年功勋企业和山东省首届省长质量奖个人贡献奖，被中宣部确定为庆祝新中国成立60周年成就宣传工业企业代表，总经理王信被评为CCTV•2009中国经济年度人物提名奖。控股子公司——兖州煤业股份公司，上市10年来连年名列我国上市公司50强，荣获全国质量管理奖、中国质量鼎和亚太国际质量管理奖。",,能源原材料
16,华能泰山电力有限公司技术中心,"电力、热力项目的开发、投资、管理;电缆、电器生产与销售;电器工程安装与施工;机械加工;技术咨询服务;金属材料、化工产品(不含危险品)销售。售电、购电、电力供应服务(专营、专控及前置审批商品或项目除外)(需许可经营的,须凭许可证经营)(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",山东,泰安,,,能源原材料
17,山东如意科技集团有限公司技术中心,"纺织服装制造;棉、化纤纺织及印染精加工;棉花、羊毛及其他纺织原料辅料的收购、加工及销售;股权投资;企业投资管理(管理有投资关系的企业);销售本公司产品;服装、服饰、家用纺织品的批发、佣金代理、进出口及零售业务;能源技术研发;对发电项目的建设、运营、管理、技术咨询和服务;新能源技术推广服务;自有房地产经营活动;机器设备的进出口业务。(依法须经批准的项目,经相关部门批准后依批准的内容开展经营活动)",山东,济宁,"山东如意科技集团其前身为始建于1972年的山东济宁毛纺织厂，是全球知名的创新型技术纺织企业，拥有国家级企业技术中心和博士后工作站，获得了数百项专利技术和创新成果，被中国纺织工业协会列为毛纺行业国家级新产品开发基地。继2002年“赛络菲尔纺纱技术及系列产品”获国家科技进步二等奖后，历时7年研究的“如意纺”纺纱技术，荣获国家科技进步一等奖，是全球服装奢侈品品牌的主要供应商之一。集团资产总额156亿元，拥有国内A股和日本东京主板2个上市公司。旗下拥有20个全资和控股子公司，职工3万人，2012年营业收入突破300亿元，进出口总额突破10亿美元。位列中国企业500强的304位，中国100大跨国公司跨国指数前十强，综合竞争力居中国纺织服装500强前五位，出口创汇居行业第二位，主营业务收入居行业前十位。公司涉及毛条制造、毛精纺、服装、棉纺织、棉印染、针织、化学纤维、牛仔布、家纺等产业，目前拥有全球规模最大的毛纺服装产业链和棉纺印染产业链。

2014年初，如意进军能源行业，新成立华能如意煤电公司，旗下拥有三家全资子公司：华能嘉祥发电有限公司、曲阜圣城热电有限公司、济宁高新区热电有限公司，同时如意集团在巴基斯坦旁遮普省费萨拉巴德工业园和拉合尔服装工业园各独自建设2×135MW热电联产煤电项目，是集团公司在境外火电能源项目。

欢迎广大优秀毕业生加盟如意，共创辉煌！",,高端化工
18,胜利石油管理局技术中心,,山东,,,,能源原材料
19,三角集团有限公司技术中心," 汽油、柴油零售(仅限分支机构经营)。经营国家对外贸易经济合作部批准范围内的进出口业务;机械设备的加工、维修;土地使用权、房屋的租赁。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",山东,威海,"三角轮胎股份有限公司设立于2001年，公司前身为创始于1976年的山东轮胎厂，目前是中国最大的轮胎制造商和供应商之一，业务范围覆盖商用车轮胎、乘用车轮胎、工程子午胎和巨胎、特种轮胎等，年生产能力2500万套，产品子午化率99%。



多年来，三角轮胎始终专注于轮胎科技的自主创新，致力于开发、生产和销售适用于全球市场不同地域、不同消费者、不同使用要求的商用车辆轮胎和乘用车辆轮胎产品。公司为国家高新技术企业，现拥有196项国内外专利技术；2008年，公司“巨型工程子午胎成套生产技术与设备开发”项目获得国家颁发科技进步一等奖，为国内轮胎行业建国以来获得的最高科技奖项。该项目为我国首例，同时打破国际垄断！



“三角”是中国轮胎行业首个“中国驰名商标”和首批“中国名牌产品”。为全球市场提供高品质的轮胎产品，服务于160多个国家和地区的消费者，赢得了广泛的认知和荣誉。



以其优秀性能、三角还获得了来自60个经济体或国家覆盖全球所有国家和地区的官方产品认证，其中包括CCC、ECE、DOT、E-SOUND 、INMETRO、LATU、GSO、SNI等，以及固特异、卡特彼勒、沃尔沃等公司的苛刻的技术性能测试，成为其全球战略合作伙伴。在中国国内，三角处于市场领先位置，同时在重汽、一汽、二汽、上海通用、通用五菱、奇瑞、长安、临工、山工、徐工等50多家汽车制造企业提供配套服务。



三角轮胎将始终秉持“为消费者提供最有价值的产品和服务，坚持社会责任和综合社会效益协调与可持续增长为基础，激励和发展员工为目标”，全力推进企业的国际化进程，向全球轮胎领域领先行列迈进。",,能源原材料
20,浦林成山(山东)轮胎有限公司技术中心,"设计、开发、生产和销售载重子午胎、普通结构轮胎、半钢子午线客车轮胎和半钢子午线轻型卡车轮胎及相关产品,为上述产品提供技术支持和服务(依法须经批准的项目,经相关部门批准后方可开展经营活动,有效期限以许可证为准)。",山东,荣成,"2014年11月，成山集团有限公司全资收购固铂成山（山东）轮胎有限公司股权，更名为浦林成山（山东）轮胎有限公司。浦林成山（山东）轮胎有限公司其前身是荣成市橡胶厂，始建于1976年。
浦林成山（山东）轮胎有限公司是一家专注于轮胎研发、制造、销售的现代化企业，总部设立于美丽宜居的海滨城市——山东荣成。目前公司拥有员工5000多人，轮胎年生产能力1500万套，现有国家级技术中心1个、国家级示范实验室5个、博士后流动工作站1个。
在40年的成长历程中，数次经历生与死的考验和脱胎换骨式的重大变革，历经风雨，公司由小到大，由弱到强，不断发展壮大。在近9年来探索国际化进程中，公司全面融合行业跨国公司的先进管理理念和管理体系，借助于先进的技术研发、全球化的市场经验和跨国人力资源储备，经过不断的文化融合、管理创新、技术创新，造就了一支专业化、现代化、国际化的企业团队，顺利完成资本结构、股权结构、人才结构的调整，公司已发展成为中国最具影响力的轮胎企业之一。“成山”牌轮胎先后被授予 “中国名牌”、“中国驰名商标”、“中国市场公认十佳畅销品牌”、“中国轮胎市场用户满意质量信誉第一品牌”等荣誉称号。 
浦林成山公司现有浦林（Prinx）、成山（Chengshan）、 澳通 (Austone) 、富神（Fortune）等主品牌及多个副品牌，全钢胎、半钢胎、斜交胎三个产品大类、60多个产品子类，涵盖乘用车轮胎、商用车轮胎、工业轮胎、农业轮胎及部分特种车辆轮胎，可以同时满足全球130多个国家和地区客户不同的需求。仅在国内，零售网点多达1万多家，遍布全国各个县市。此外，还是中国重汽、中国一汽、江铃汽车、庆铃汽车、红岩重汽、东风柳汽、江淮汽车等30多家大型主机厂的主流供应商。2016年4月14日，浦林轮胎更是有幸参与了由中国橡胶工业协会联合中国主流媒体CCTV2组织的轮胎专业性能测试，最终轮胎性能表现优异，完胜国际大牌轮胎，使广大消费者对国产民族品牌信心倍增。
面对未来，浦林成山公司提出了“争创国内行业第一强阵，跻身世界行业前十强”的发展目标，发扬“艰苦创业、开拓创新、海纳百川、永不满足”的精神，充分利用品牌、市场、管理的优势，积极开展技术引进，广泛参与市场竞争。以快速反应为运作原则, 以关注用户隐性需求为服务理念，以前瞻性的产品来抢占市场，建立起具有成山特色的深度营销体系。",,能源原材料
21,东阿阿胶股份有限公司技术中心," 许可证批准范围内的药品生产、销售,许可证批准范围内的保健食品生产、销售,受山东东阿阿胶保健品有限公司委托生产阿牌、东阿阿胶牌、葆苓牌保健食品,许可证批准范围内的食品生产、销售,预包装食品批发、零售,许可范围内畜牧养殖、收购、销售;许可证范围内化妆品(护肤品)、保健器材、医疗器材、小型厨具、保洁用品、家用电器生产与销售;在经核准的区域内直销经核准的产品(具体产品以商务部直销行业信息管理系统公布的为准),(以上项目有效期限以许可证为准)。食品用塑料包装、容器、工具等制品的生产、销售;进出口业务;化工产品(不含易燃易爆危险品)销售;以自有资金对外投资;中药材种植、收购、生产及销售;健康咨询服务、旅游观光服务、会议展览及接待服务、工艺品销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",山东,聊城,"历史沿革：山东东阿阿胶股份有限公司前身为山东东阿阿胶厂，1952年建厂，1993年由国有企业改制为股份制企业。1996年成为上市公司，同年7月29日“东阿阿胶”A股股票在深交所挂牌上市，系国内最大的阿胶及系列产品生产企业。隶属央企华润集团。
企业概况：现有员工5420人，总资产35.98亿元，生产经营中成药、保健品、生物药、药用辅料等6大产业门类的产品百余种，远销东南亚各国及欧美市场。
经营绩效：“东阿”牌阿胶在全国阿胶厂家唯一3次荣膺国家金质奖、唯一荣获传统药“长城”国际金奖和“全国用户满意产品”称号；荣获上海世博会“千年金奖”；中华老字号，全国唯一国家非物质文化遗产—东阿阿胶制作技艺代表性传承人企业；“东阿”和“吉祥云”两个商标均为中国驰名商标，“东阿”牌荣获首批300家“全国重点保护品牌”、“中国科技名牌500强”、影响世界中国力量品牌500强、中国行业标志性品牌、“最受消费者信赖保健品品牌”、“最具放心企业和最具放心品牌”，并5次入围“中国500最具价值品牌”，品牌价值34.01亿元；公司系国家级高新技术企业,率先在全国同行业通过GMP、ISO9001质量体系、ISO14001国际环境体系叁认证，跨入全国医药百强、全国科技百强、全国中药行业效益十佳企业、山东省中药现代化科技示范企业、“中国最具生命力的企业百强”行列，连续7次入围“中国最具发展力的上市公司50强”。连续叁届蝉联中国药品品牌榜补益类第一名，第二届中国最具竞争力医药上市公司20强，荣获山东省首届省长质量奖，生物药瑞通立和百杰依均获山东省科技进步一等奖。东阿阿胶在国内十大补血品牌中“第一提及率、最常服用率、尝试率、品牌忠诚度等7项指标高居榜首。 荣获全国中药行业排头兵，全国信息化融合50强，最佳雇主企业，国家综合性新药研发技术大平台（山东）产业化示范企业，中国企业教育百强，全国科普教育基地，中国医药质量管理明星。2013年销售收入约30亿元。",,医养健康
22,华泰集团有限公司技术中心,"制浆、造纸、化工、环保、自动化、信息开发、检验、新产品研究与开发。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",山东,东营,,,能源原材料
