,人员规模,企业地址,公司名,公司类型,参保人数,实缴资本,成立日期,所属地区,所属行业,曾用名,核准日期,注册号,注册号公司名,注册资本,登记机关,纳税人识别号,组织机构代码,经营方式,经营状态,经营范围,统一社会信用,统一社会信用代码,英文名,营业期限
15,-,山东省滨州市阳信县河流镇马丰河村查看地图附近公司,山东睿喆商贸有限公司在业,有限责任公司(自然人独资),-,-,2017-08-14,山东省,批发和零售业,-,2017-08-14,371622200044132,,500万人民币元,滨州市阳信县工商行政管理局,91371622MA3FDAD82D,MA3FDAD8-2,,在营（开业）企业,电子产品、办公用品、礼品、宣传品、监控电子显示屏、劳保用品、印刷品、计算机的购销。(依法须经批准的项目经相关部门批准后方可开展经营活动),,91371622MA3FDAD82D,-,2017-08-14至无固定期限
16,-,滨州市沾化区下洼镇永丰商业街查看地图附近公司,滨州市沾化区晨旭铝材批发部存续,个体工商户,,-,2015-08-26,山东省,批发和零售业,-,2015-08-26,371624600123705,,-,滨州市沾化区市场监督管理局,-,-,-,存续,铝合金；玻璃开片（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,-,-,***至无固定期限
17,-,山东省滨州市邹平县韩店镇西王大道查看地图附近公司,邹平县韩店镇以明烟花爆竹经营店在业,个体工商户,,-,2015-01-21,山东省,批发和零售业,-,2017-10-31,371626600411517,,-,滨州市邹平县工商行政管理局,92371626MA3GMKPM0M,-,-,在营（开业）企业,烟花爆竹C、D级(依法须经批准的项目经相关部门批准后方可开展经营活动),,92371626MA3GMKPM0M,-,***至无固定期限
18,-,邹平县城黛溪四路26号查看地图附近公司,邹平县聚能机械厂吊销,全民所有制,-,50万人民币元,2000-12-12,山东省,制造业,-,2000-12-12,3716261800539,,50万人民币元,滨州市邹平县工商行政管理局,-,72620996-2,,吊销,生产销售农机产品、工业机械产品、机械维修、零配件加工(依法须经批准的项目经相关部门批准后方可开展经营活动)。,,-,-,2000-12-12至无固定期限
19,-,邹平县韩店镇上口村查看地图附近公司,邹平县韩店镇以明烟花爆竹经营店在业,个体工商户,,-,2015-01-21,山东省,批发和零售业,-,2015-12-30,371626600411517,,-,滨州市邹平县工商行政管理局,92371626MA3GMKPM0M,-,-,在营（开业）企业,烟花爆竹C、D级(依法须经批准的项目经相关部门批准后方可开展经营活动),,-,-,***至无固定期限
20,-,博山开发区白石洞风景区东100米查看地图附近公司,博山开发区豪祥建材经营部存续,个体工商户,,-,2011-09-02,山东省,批发和零售业,-,2011-09-02,370304600146877,,-,博山区工商行政管理局,-,-,-,存续,建材及水泥辅材零售*,,-,-,***至无固定期限
21,-,博山开发区叩家村查看地图附近公司,博山开发区旺利达钢材销售部存续,个体工商户,,-,2010-06-08,山东省,批发和零售业,-,2010-06-08,370304600126812,,-,博山区工商行政管理局,-,-,-,存续,钢材销售*,,-,-,***至无固定期限
22,-,乔庄镇西小村查看地图附近公司,博兴县乔庄镇永兴家电城存续,个体工商户,,-,2013-05-08,山东省,批发和零售业,-,2013-05-08,371625600254647,,-,博兴县市场监督管理局,-,-,-,存续,冰箱、电视、空调、小家电批发,,-,-,***至无固定期限
23,-,曹县磐石街道办事处湘江东路路北一栋洋房27号楼1-3号查看地图附近公司,曹县磐石办事处致华大酒窖经营部在业,个体工商户,,-,2016-08-01,山东省,-,-,2016-08-01,371721601199979,,-,曹县市场监督管理局,-,-,-,在营（开业）企业,零售预包装食品兼散装食品（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,-,-,***至无固定期限
24,-,山东省菏泽市曹县楼庄乡前代庄查看地图附近公司,曹县楼庄乡麦屯板材加工厂在业,个人独资企业,-,-,2016-09-05,山东省,制造业,-,2016-09-05,371721300084940,,-,曹县市场监督管理局,91371721MA3CGAEB7U,MA3CGAEB-7,,在营（开业）企业,板材加工、销售(依法须经批准的项目经相关部门批准后方可开展经营活动),,91371721MA3CGAEB7U,-,***至无固定期限
25,-,山东省菏泽市曹县苏集镇苏集村查看地图附近公司,曹县苏集镇师晟翔电商服务部在业,个体工商户,,-,2017-06-12,山东省,-,-,2017-06-12,371721601249845,,-,曹县市场监督管理局,92371721MA3DTYDG9Y,-,-,在营（开业）企业,电子商务信息咨询、服务与推广、网络代购代销、日用洗化用品、食品、五金、家电电器、通讯器材、便民服务(依法须经批准的项目经相关部门批准后方可开展经营活动),,92371721MA3DTYDG9Y,-,***至无固定期限
26,-,昌乐县阿陀镇崖头工业园查看地图附近公司,昌乐宝力机械制造厂在业,个人独资企业,-,10万人民币元,2003-11-28,山东省,制造业,-,2007-11-01,370725329005813,,10万人民币元,昌乐县市场监督管理局,-,75745666-7,,在营（开业）企业,铸造件加工、销售(依法须经批准的项目经相关部门批准后方可开展经营活动)。,,-,-,***至无固定期限
27,-,山东省潍坊市昌乐县北关社区劳务市场查看地图附近公司,昌乐县顺义配货站存续,个体工商户,,-,2008-10-20,山东省,交通运输、仓储和邮政业,昌乐县顺义车队,2017-07-26,370725600084936,,-,昌乐县市场监督管理局,92370725MA3FA5NT8B,75747976-2,-,存续,空车配货(依法须经批准的项目，经相关部门批准后方可开展经营活动)。,,92370725MA3FA5NT8B,-,***至无固定期限
28,-,山东省潍坊市昌乐县城方山路100号查看地图附近公司,昌乐县传刚涂料店在业,个体工商户,,-,2015-06-08,山东省,批发和零售业,-,2015-06-08,370725610156285,,-,昌乐县市场监督管理局,-,-,-,在营（开业）企业,涂料、浮胶漆批发零售及室内装饰(依法须经批准的项目经相关部门批准后方可开展经营活动),,-,-,***至无固定期限
29,-,站前街工商所西查看地图附近公司,昌乐县鑫旺土产杂品店存续,个体工商户,,-,2006-03-20,山东省,批发和零售业,-,2017-05-10,370725600003767,,-,昌乐县市场监督管理局,92370725MA3DM5TQ5N,-,-,存续,土产杂品销售（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,92370725MA3DM5TQ5N,-,***至无固定期限
30,-,昌邑市天水市场北门西7号查看地图附近公司,昌邑市天水市场风儒快餐店存续,个体工商户,,-,2005-04-08,山东省,住宿和餐饮业,-,2005-04-08,370786600198564,,-,昌邑市市场监督管理局,-,-,-,存续,主副食、冷拼加工、酒水,,-,-,***至无固定期限
31,-,山东省潍坊市昌邑市角埠村171号查看地图附近公司,昌邑市角埠村刘显波家庭农场存续,个体工商户,,-,2017-12-21,山东省,-,-,2017-12-21,370786610239336,,-,昌邑市市场监督管理局,92370786MA3MHBLD5M,-,-,存续,种植小麦、玉米、棉花、花生、大豆（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,92370786MA3MHBLD5M,-,***至无固定期限
32,-,-,昌邑市乡镇企业多种经营服务公司曾用名注销,集体所有制,-,43.1万人民币元,1989-05-17,山东省,批发和零售业,昌邑县多种经营服务公司,1994-07-12,3707861860243,,43.1万人民币元,昌邑市市场监督管理局,-,-,,注销,针纺织品及原料染料纺织机械配件化工原料草制品烟酒糖茶糕点罐头家具家用电器汽车出租(依法须经批准的项目经相关部门批准后方可开展经营活动)。,,-,-,***至无固定期限
33,-,-,潍坊市海水养殖试验场注销,全民所有制,-,94万人民币元,1991-10-14,山东省,农、林、牧、渔业,-,2005-11-29,3707861861220,,94万人民币元,昌邑市市场监督管理局,-,-,,注销,对虾育苗、对虾养殖。(需许可生产经营的凭许可证生产经营)(依法须经批准的项目经相关部门批准后方可开展经营活动)。,,-,-,***至无固定期限
34,-,-,长岛县磨石嘴小学工会小卖部注销,集体经营单位(非法人),-,-,1994-05-26,山东省,批发和零售业,-,1994-05-26,3706341900238,,0.1万人民币元,长岛县工商行政管理局,-,-,,注销,文化用品其它食品(含烟)。(依法须经批准的项目经相关部门批准后方可开展经营活动)。,,-,-,***至无固定期限
35,-,-,成武县供销农资网络服务有限公司第一百网络店注销,其他有限责任公司分公司,-,-,2005-01-20,山东省,批发和零售业,-,2015-06-09,371723119010064,,-,成武县工商行政管理局,-,-,,注销,化肥、农用药械、农膜、农药(化学危险品除外)零售**(依法须经批准的项目经相关部门批准后方可开展经营活动)。,,-,-,***至无固定期限
36,-,成武县白浮图镇防城行政村乔楼村北查看地图附近公司,成武县防城青山羊养殖专业合作社在业,农民专业合作经济组织,-,-,2012-07-03,山东省,农、林、牧、渔业,-,2012-07-03,371723NA000365X,,150万人民币元,成武县市场监督管理局,-,-,,在营（开业）企业,青山羊、绵羊、牛养殖、销售(凭动物防疫条件合格证经营)。,,-,-,***至无固定期限
37,-,山东省菏泽市成武县文亭办事处烟庄行政村烟庄村查看地图附近公司,成武县杰天杂品店在业,个体工商户,,-,2017-11-19,山东省,-,-,2017-11-19,371723600309174,,-,成武县市场监督管理局,92371723MA3EUWGB8G,-,-,在营（开业）企业,杂品零售(依法须经批准的项目经相关部门批准后方可开展经营活动),,92371723MA3EUWGB8G,-,***至无固定期限
38,-,山东省菏泽市成武县永昌办事处先农坛街东段路南润发超市西查看地图附近公司,成武县卤之味熟食店存续,个体工商户,,-,2015-11-09,山东省,住宿和餐饮业,-,2015-11-09,371723600229551,,-,成武县市场监督管理局,-,-,-,存续,餐饮服务（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,-,-,***至无固定期限
39,-,山东省聊城市茌平县振兴办事处隅西路路北查看地图附近公司,茌平县迎德水暖门市部存续,个体工商户,,-,2017-07-24,山东省,-,-,2017-07-24,371523600474544,,-,茌平县工商行政管理局,92371523MA3F9H2N27,-,-,存续,水暖安装服务及配件零售（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,92371523MA3F9H2N27,-,***至无固定期限
40,-,单县黄岗镇开发区查看地图附近公司,单县金亿木业有限公司吊销,有限责任公司(自然人独资),-,50万人民币元,2006-09-27,山东省,制造业,-,2009-09-10,371722228008011,,50万人民币元,单县市场监督管理局,-,79392607-2,,吊销,人造板成品及半成品生产、销售;木材加工、销售(许可至2011年9月18日)(依法须经批准的项目经相关部门批准后方可开展经营活动)。,,-,-,2006-09-27至2036-09-26
41,-,高老家乡曹叵集村查看地图附近公司,单县双福副食门市部存续,个体工商户,,-,2010-11-02,山东省,批发和零售业,-,2010-11-02,371722600287564,,-,单县市场监督管理局,-,-,-,存续,副食（凭食品流通许可证经营期限经营）、日用百货、零售,,-,-,***至无固定期限
42,-,山东省菏泽市单县黄岗镇浮杨路东段路南查看地图附近公司,单县红泰调味品门市部在业,个体工商户,,-,2018-04-02,山东省,-,-,2018-04-02,-,,-,单县市场监督管理局,92371722MA3MWN2D96,-,-,在营（开业）企业,副食品、调味品(依法须经批准的项目经相关部门批准后方可开展经营活动),,92371722MA3MWN2D96,-,***至无固定期限
43,-,山东省菏泽市单县南城董庄村查看地图附近公司,单县伟佳玻纤有限公司在业,有限责任公司(自然人独资),-,-,2018-01-08,山东省,制造业,-,2018-01-08,371722200059271,,50万人民币元,单县市场监督管理局,91371722MA3MK8YBX9,MA3MK8YB-X,,在营（开业）企业,玻纤制品、塑料制品加工、销售。(依法须经批准的项目经相关部门批准后方可开展经营活动),,91371722MA3MK8YBX9,-,2018-01-08至无固定期限
44,-,山东省菏泽市单县时楼镇徐集村查看地图附近公司,单县海龙家庭农场在业,个人独资企业,-,-,2016-05-11,山东省,农、林、牧、渔业,-,2016-05-11,371722300054324,,-,单县市场监督管理局,91371722MA3CABND0W,MA3CABND-0,,在营（开业）企业,粮食种植(依法须经批准的项目经相关部门批准后方可开展经营活动),,91371722MA3CABND0W,-,***至无固定期限
45,-,德州经济开发区沙王庄查看地图附近公司,德州经济开发区永辉小吃部（已歇业）存续,个体工商户,,-,2006-06-30,山东省,住宿和餐饮业,-,2006-06-30,371403600021524,,-,德州经济技术开发区市场监督管理局,-,-,-,存续,中餐（凭有效卫生许可证经营）。,,-,-,***至无固定期限
46,-,德州市经济开发区杏园村对面查看地图附近公司,德州经济开发区天宇铝合金电汽焊加工部吊销,个体,,-,2004-01-13,山东省,-,-,2004-01-13,371403600006296,,-,德州经济技术开发区市场监督管理局,-,-,-,吊销企业,电汽焊、铝合金加工。,,-,-,***至无固定期限
47,-,山东省德州市经济技术开发区天衢东路龙元世纪广场3-1-103号查看地图附近公司,德州经济技术开发区宝平百货销售服务中心存续,个体工商户,,-,2017-09-13,山东省,-,-,2017-09-13,371403600179004,,-,德州经济技术开发区市场监督管理局,92371400MA3EJ8190G,-,-,存续,食品、日用百货、办公用品、化妆品、花卉、玩具、图书、工艺品、厨房用品、五金产品、床上用品、服装鞋帽、电脑及配件批零兼营（同时网上经营），美容服务（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,92371400MA3EJ8190G,-,***至无固定期限
48,-,德州市德城区解放南路康乐小区13号门市*J查看地图附近公司,德州市德城区好邻居康乐百货店存续,个体工商户,,-,2007-11-02,山东省,批发和零售业,-,2012-01-31,371402600190298,,-,德州市德城区工商行政管理局,-,-,-,存续,预包装食品、散装食品、乳制品（含婴幼儿配方乳粉）；卷烟、雪茄烟；食盐；日用百货、服装鞋帽、工艺品（不含金银饰品）、文化用品、家用电器、五金*零售（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,-,-,***至无固定期限
49,-,德州市德城区三八路12-19号*C查看地图附近公司,德州市德城区貂王皮草店存续,个体工商户,,-,2012-12-13,山东省,批发和零售业,-,2012-12-13,371402600383637,,-,德州市德城区工商行政管理局,-,-,-,存续,服装、鞋帽、饰品、箱包,,-,-,***至无固定期限
50,-,德州市德城区三八路鑫龙嘉园小区3-3-101号*CG查看地图附近公司,德州市德城区洪伟服装店存续,个体工商户,,-,2012-03-30,山东省,批发和零售业,-,2016-03-03,371402600351727,,-,德州市德城区工商行政管理局,-,-,-,存续,服装批发零售及加工（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,-,-,***至无固定期限
51,-,山东省德州市德城区德兴北路乾城尊府33号门市*M查看地图附近公司,德州市德城区晨悦菜馆存续,个体工商户,,-,2015-08-25,山东省,住宿和餐饮业,-,2015-08-25,371402600502156,,-,德州市德城区工商行政管理局,-,-,-,存续,小吃（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,-,-,***至无固定期限
52,-,山东省德州市德城区天衢街道办事处湖滨北路235号查看地图附近公司,德州沪安汽车服务有限公司曾用名在业,有限责任公司(自然人独资),-,-,2015-11-09,山东省,批发和零售业,德州沪安商贸有限公司,2017-07-04,371402200038682,,20万人民币元,德州市德城区工商行政管理局,91371402MA3BYT8672,MA3BYT86-7,,在营（开业）企业,汽车销售方面的信息咨询;汽车配件、汽车用品、汽车装具、五金、建材、食品批发兼零售(依法须经批准的项目经相关部门批准后方可开展经营活动),,91371402MA3BYT8672,-,2015-11-09至无固定期限
53,-,山东省德州市德城区新华街道办事处七中村*J查看地图附近公司,德州市德城区瑞华废品回收门市部存续,个体工商户,,-,2011-07-13,山东省,批发和零售业,-,2015-07-23,371402600330491,,-,德州市德城区工商行政管理局,-,-,-,存续,废品*回收、销售（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,-,-,***至无固定期限
54,-,山东省德州市德城区新华街道办事处新河东路10号建材市场2排9号*Ja查看地图附近公司,德州市德城区正韬建材经销处在业,个体工商户,,-,2012-08-03,山东省,批发和零售业,-,2017-12-07,371402600364353,,-,德州市德城区工商行政管理局,92371402MA3H4B3177,-,-,在营（开业）企业,水性涂料、干粉砂浆、涂刷辅材、粘接材料*批零兼营(依法须经批准的项目经相关部门批准后方可开展经营活动),,92371402MA3H4B3177,-,***至无固定期限
55,-,陵县世纪家园三期南区北门西侧查看地图附近公司,杨双双在业,个体,,-,2012-09-20,山东省,-,-,2012-09-20,371421600213177,,-,德州市陵城区市场监督管理局,-,-,-,在营（开业）企业,灯具,,-,-,***至无固定期限
56,-,山东省德州市运河经济开发区新港街5号公寓东沿街11号房屋*A查看地图附近公司,德州市运河经济开发区亿鑫二手房信息经营部存续,个体工商户,,-,2013-07-01,山东省,房地产业,-,2013-07-01,371404600060536,,-,德州运河经济开发区市场监督管理局,-,-,-,存续,二手房信息咨询,,-,-,***至无固定期限
57,-,山东省菏泽市东明县菜园集镇东李寨村查看地图附近公司,东明县智睿装饰部在业,个体工商户,,-,2018-05-02,山东省,-,-,2018-05-02,-,,-,东明县市场监督管理局,92371728MA3N2DW62U,-,-,在营（开业）企业,销售灯具、订做家具、房屋吊顶、室内设计。(依法须经批准的项目经相关部门批准后方可开展经营活动),,92371728MA3N2DW62U,-,***至无固定期限
58,-,山东省菏泽市东明县马头镇关庄村查看地图附近公司,东明忠亚木业有限公司在业,有限责任公司(自然人独资),-,-,2017-08-28,山东省,制造业,-,2017-09-08,371728200032286,,25万人民币元,东明县市场监督管理局,91371728MA3FG30CXU,MA3FG30C-X,,在营（开业）企业,板材、木制品的加工与销售。(依法须经批准的项目经相关部门批准后方可开展经营活动),,91371728MA3FG30CXU,-,2017-08-28至无固定期限
59,-,东平县城西山路南查看地图附近公司,东平县嘉华钣金喷漆店存续,个体工商户,,-,2013-07-18,山东省,居民服务、修理和其他服务业,-,2013-07-18,370923600318793,,-,东平县工商行政管理局,-,-,-,存续,汽车整形喷漆、车身清洁维护、汽车玻璃安装,,-,-,***至无固定期限
60,-,山东省东营市东营区府前大街52号金融大厦20层2006C房间查看地图附近公司,东营市汇杰汽车服务有限公司在业,有限责任公司(自然人独资),-,-,2017-08-09,山东省,租赁和商务服务业,-,2017-08-09,370524200036628,,100万人民币元,东营经济技术开发区市场监督管理局,91370500MA3FCKB062,MA3FCKB0-6,,在营（开业）企业,汽车装饰用品、汽车配件、日用百货、五金工具、机电产品、电子产品、电器的销售。(依法须经批准的项目经相关部门批准后方可开展经营活动),,91370500MA3FCKB062,-,2017-08-09至无固定期限
61,-,淄博路金泰市场查看地图附近公司,东营区尚云理容店吊销,个体,,-,2003-03-26,山东省,-,-,2005-08-18,370502600041569,,-,东营市东营区工商行政管理局,-,-,-,吊销企业,理发,,-,-,***至无固定期限
62,-,东营区北一路南、太行山路东查看地图附近公司,东营市齐健商贸有限责任公司曾用名在业,有限责任公司(自然人投资或控股),-,100万人民币元,2008-01-17,山东省,建筑业,东营市齐升装饰工程有限责任公司,2017-09-30,370502200001604,,100万人民币元,东营市东营区市场监督管理局,9137050267054551X5,67054551-X,,在营（开业）企业,室内外装饰工程;网络工程(不含互联网);化工产品(不含危险品及易制毒化学品)、蜡油、渣油、重油、道路沥青、仪器仪表、阀门、燃料油(闪点>60℃)、考勤机、办公设备及耗材、五金建材、钢材、卫生洁具、照明设备、机电产品、实验仪器、医疗器械销售;楼宇自控设备销售及安装;石油机械设备销售及技术开发服务;自动化工程设备技术开发及技术服务;安防、监控设备销售及安装;计算机软件开发。(依法须经批准的项目经相关部门批准后方可开展经营活动),,9137050267054551X5,-,2008-01-17至2028-01-16
63,-,东营区商河路58号时尚莱迪服装城负一层星光大道29号查看地图附近公司,东营区谈蕾服装店在业,个体工商户,,-,2014-08-21,山东省,批发和零售业,-,2014-08-21,370502600445860,,-,东营市东营区市场监督管理局,-,-,-,在营（开业）企业,服装零售(依法须经批准的项目经相关部门批准后方可开展经营活动),,-,-,***至无固定期限
64,-,东营区西三路15号天成恒信科技大厦查看地图附近公司,东营区佳辰电子经营部存续,个体工商户,,-,2009-09-21,山东省,批发和零售业,-,2017-10-09,370502600254870,,-,东营市东营区市场监督管理局,92370502MA3FLQBX1C,L7961798-8,-,存续,办公设备、电子产品、网络耗材、办公用品、电器、电料、五金、劳保用品、通讯器材、监控器材、传媒器材、计算机软硬件、家具、家电、汽车配件、日用百货、图书、床上用品、食品、工艺礼品、五金建材、标牌、地板销售；广告设计、制作。（依法需经批准经营的项目，经相关部门批准后方可开展经营活动）,,92370502MA3FLQBX1C,-,***至无固定期限
65,-,东营区辛店街道周家村179号查看地图附近公司,东营区冬梅老粗布店存续,个体工商户,,-,2014-06-17,山东省,居民服务、修理和其他服务业,-,2014-06-17,370502600429875,,-,东营市东营区市场监督管理局,-,-,-,存续,粗布床单、粗布衬衣（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,,-,-,***至无固定期限
66,-,黄河口商贸城417号查看地图附近公司,东营黄河口百利粮油店存续,个体工商户,,-,2014-12-05,山东省,批发和零售业,-,2014-12-05,370502600474639,,-,东营市东营区市场监督管理局,-,-,-,存续,专营米、面粉、挂面、切面及食用油的零售活动。（依法许可批准的项目，经相关部门批准后，方可开展经营活动。）,,-,-,***至无固定期限
67,-,山东省东营市东营区胜利采油厂向北500米路西查看地图附近公司,东营区利超汽车维修服务部存续,个体工商户,,-,2016-04-15,山东省,居民服务、修理和其他服务业,-,2016-04-15,370502600608081,,-,东营市东营区市场监督管理局,-,-,-,存续,汽车维修服务（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,-,-,***至无固定期限
68,-,东营区龙居商业街查看地图附近公司,东营区龙居立新通讯器材经营部吊销,个体,,-,2006-10-19,山东省,-,-,2006-10-19,370502600138465,,-,东营市工商行政管理局东营分局,-,-,-,吊销企业,受托代收话费业务(需经许可经营的须凭许可证经营),,-,-,***至无固定期限
69,-,-,胜利油田友伟工贸公司鸿志家电制冷维修部注销,集体社团法人营业,-,2万人民币元,1995-05-12,山东省,科学研究和技术服务业,-,1995-05-12,3705001904587,,2万人民币元,东营市工商行政管理局,-,-,,注销,家用电器、制冷设备维修安装。(依法须经批准的项目经相关部门批准后方可开展经营活动)。,,-,-,***至1900-01-01
70,-,-,中国网通(集团)有限公司利津县分公司北岭营业厅注销,外商投资企业分公司,-,-,2005-06-22,山东省,信息传输、软件和信息技术服务业,-,2009-04-21,370500500001164,,-,东营市工商行政管理局,-,-,,注销,经营本行政区划内固定电信网络与设施(含本地无线环路)业务基于固定电信网络的话音、数据、图像及多媒体通信与信息服务。(涉及许可证管理的凭许可证经营),,-,-,***至2051-02-06
